City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,High Level,CA,58.5169,-117.136,-0.29,85,0,2.3,smoke
80,Paamiut,GL,61.994,-49.6678,12.69,79,63,8.55,broken clouds
81,Kalabo,ZM,-14.97,22.6814,67.48,87,56,3.49,broken clouds
82,Gat,IL,31.61,34.7642,63.39,100,34,7.49,scattered clouds
83,Port Macquarie,AU,-31.4333,152.9167,70.9,46,25,15.64,scattered clouds
84,Upernavik,GL,72.7868,-56.1549,10.38,94,99,13.96,overcast clouds
85,Port-Gentil,GA,-0.7193,8.7815,75.72,90,100,11.45,moderate rain
86,Pitelino,RU,54.5777,41.8145,24.48,89,85,9.08,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,81.09,78,73,11.43,broken clouds
88,Hasaki,JP,35.7333,140.8333,63.28,59,94,15.39,overcast clouds
89,Nanortalik,GL,60.1432,-45.2371,18.77,76,26,21.0,scattered clouds
90,Kruisfontein,ZA,-34.0033,24.7314,56.88,74,96,6.13,overcast clouds
91,Manono,CD,-7.3,27.4167,66.02,95,93,2.24,light rain
92,Mitsamiouli,KM,-11.3847,43.2844,75.49,78,20,8.05,few clouds
93,Mar Del Plata,AR,-38.0023,-57.5575,66.22,82,0,6.91,clear sky
94,Gayny,RU,60.3071,54.3241,2.82,94,17,2.89,few clouds
95,Vestmannaeyjar,IS,63.4427,-20.2734,47.91,82,89,39.46,overcast clouds
96,Ancud,CL,-41.8697,-73.8203,53.73,93,47,6.67,scattered clouds
97,Athabasca,CA,54.7169,-113.2854,14.41,77,26,10.98,scattered clouds
98,Saint-Pierre,RE,-21.3393,55.4781,74.88,46,0,5.75,clear sky
99,Guerrero Negro,MX,27.9769,-114.0611,65.07,40,0,4.41,clear sky
100,Nanning,CN,22.8167,108.3167,72.05,81,99,7.99,overcast clouds
101,Faya,SA,18.3851,42.4509,52.32,51,4,1.86,clear sky
102,Kobryn,BY,52.2138,24.3564,29.39,76,47,12.64,scattered clouds
103,Calama,CL,-22.4667,-68.9333,52.29,32,0,6.91,clear sky
104,Dunedin,NZ,-45.8742,170.5036,55.8,99,100,6.24,overcast clouds
105,Portland,US,45.5234,-122.6762,41.2,70,0,14.0,clear sky
106,Shebunino,RU,46.4339,141.8603,35.26,61,98,6.24,overcast clouds
107,Pisco,PE,-13.7,-76.2167,62.65,82,0,9.22,clear sky
108,Buala,SB,-8.145,159.5921,83.62,72,52,0.87,light rain
109,Indramayu,ID,-6.3264,108.32,82.13,73,100,7.96,overcast clouds
110,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,73.81,92,100,3.44,overcast clouds
111,Kurilsk,RU,45.2333,147.8833,38.35,59,98,21.94,overcast clouds
112,Mataura,NZ,-46.1927,168.8643,58.48,79,99,3.91,light rain
113,Tiksi,RU,71.6872,128.8694,-18.69,99,97,3.51,overcast clouds
114,Avarua,CK,-21.2078,-159.775,77.05,69,71,14.97,broken clouds
115,Salaga,GH,8.5508,-0.5188,72.91,48,16,0.74,few clouds
116,Lagoa,PT,39.05,-27.9833,60.69,68,100,20.4,overcast clouds
117,Nome,US,64.5011,-165.4064,30.27,80,0,20.71,clear sky
118,Silale,LT,55.4906,22.1814,27.18,83,8,7.96,clear sky
119,Katsuura,JP,35.1333,140.3,61.02,67,96,15.82,overcast clouds
120,Jamestown,US,42.097,-79.2353,33.39,65,100,11.5,overcast clouds
121,Tombouctou,ML,20.0,-3.0,67.19,17,43,11.65,scattered clouds
122,Ponta Do Sol,PT,32.6667,-17.1,69.71,83,87,6.62,overcast clouds
123,Chardara,KZ,41.2547,67.9692,41.76,72,64,6.11,broken clouds
124,Kapaa,US,22.0752,-159.319,80.58,74,40,12.66,scattered clouds
125,Codrington,AU,-38.2667,141.9667,58.66,68,72,11.16,broken clouds
126,Sambava,MG,-14.2667,50.1667,74.88,82,29,5.53,light rain
127,Bolshaya Sosnova,RU,57.6713,54.6029,10.15,87,30,3.76,scattered clouds
128,Ust-Nera,RU,64.5667,143.2,-8.41,97,100,2.53,overcast clouds
129,Hofn,IS,64.2539,-15.2082,46.8,89,100,26.17,overcast clouds
130,Tiznit,MA,29.5833,-9.5,60.55,32,19,2.21,few clouds
131,Madang,PG,-5.2246,145.7966,86.74,65,100,8.5,overcast clouds
132,Tahe,CN,52.3333,124.7333,23.41,72,100,2.66,overcast clouds
133,Esperance,AU,-33.8667,121.9,65.12,73,25,22.57,scattered clouds
134,General Roca,AR,-39.0333,-67.5833,74.93,27,48,9.13,scattered clouds
135,Kununurra,AU,-15.7667,128.7333,93.18,52,21,9.22,few clouds
136,Port Elizabeth,ZA,-33.918,25.5701,63.32,79,0,9.22,clear sky
137,Dikson,RU,73.5069,80.5464,1.4,92,100,20.56,overcast clouds
138,Shima,CN,24.4478,117.8111,80.62,57,7,1.77,clear sky
139,Ossora,RU,59.2353,163.0719,17.28,80,2,6.26,clear sky
140,Fortuna,US,40.5982,-124.1573,43.36,100,33,3.87,scattered clouds
141,Sudak,UA,44.85,34.9667,52.75,82,29,9.73,scattered clouds
142,Anaconda,US,46.1285,-112.9423,21.15,96,100,4.32,snow
143,Jutai,BR,-5.1833,-68.9,71.87,99,99,0.96,light rain
144,Gamba,GA,-2.65,10.0,75.42,86,99,8.05,light rain
145,Port Augusta,AU,-32.5,137.7667,77.68,20,0,6.73,clear sky
146,Hailey,US,43.5196,-114.3153,21.88,89,42,6.49,scattered clouds
147,Georgetown,MY,5.4112,100.3354,84.15,85,20,5.75,few clouds
